Código Município Completo;Nome_UF;Nome_Mesorregião;Nome_Microrregião;Nome_Município;Area_Municipio;;;;;
1100015;Rondônia;Leste Rondoniense;Cacoal;Alta Floresta D'Oeste;Área Rural;;;;;
1100379;Rondônia;Leste Rondoniense;Cacoal;Alto Alegre dos Parecis;Área Rural;;;;;
1100403;Rondônia;Leste Rondoniense;Ariquemes;Alto Paraíso;Área Rural;;;;;
1100346;Rondônia;Leste Rondoniense;Alvorada D'Oeste;Alvorada D'Oeste;Centro Urbano;;;;;
1100023;Rondônia;Leste Rondoniense;Ariquemes;Ariquemes;Centro Urbano;;;;;
1100452;Rondônia;Madeira-Guaporé;Porto Velho;Buritis;Área Rural;;;;;
1100031;Rondônia;Leste Rondoniense;Colorado do Oeste;Cabixi;Área Rural;;;;;
1100601;Rondônia;Leste Rondoniense;Ariquemes;Cacaulândia;Área Rural;;;;;
1100049;Rondônia;Leste Rondoniense;Cacoal;Cacoal;Centro Urbano;;;;;
1100700;Rondônia;Madeira-Guaporé;Porto Velho;Campo Novo de Rondônia;Área Rural;;;;;
1100809;Rondônia;Madeira-Guaporé;Porto Velho;Candeias do Jamari;Área Rural;;;;;
1100908;Rondônia;Leste Rondoniense;Cacoal;Castanheiras;Área Rural;;;;;
1100056;Rondônia;Leste Rondoniense;Colorado do Oeste;Cerejeiras;Área Rural;;;;;
1100924;Rondônia;Leste Rondoniense;Vilhena;Chupinguaia;Área Rural;;;;;
1100064;Rondônia;Leste Rondoniense;Colorado do Oeste;Colorado do Oeste;Centro Urbano;;;;;
1100072;Rondônia;Leste Rondoniense;Colorado do Oeste;Corumbiara;Área Rural;;;;;
1100080;Rondônia;Madeira-Guaporé;Guajará-Mirim;Costa Marques;Área Rural;;;;;
1100940;Rondônia;Madeira-Guaporé;Porto Velho;Cujubim;Área Rural;;;;;
1100098;Rondônia;Leste Rondoniense;Cacoal;Espigão D'Oeste;Área Rural;;;;;
1101005;Rondônia;Leste Rondoniense;Ji-Paraná;Governador Jorge Teixeira;Área Rural;;;;;
1100106;Rondônia;Madeira-Guaporé;Guajará-Mirim;Guajará-Mirim;Centro Urbano;;;;;
1101104;Rondônia;Madeira-Guaporé;Porto Velho;Itapuã do Oeste;Área Rural;;;;;
1100114;Rondônia;Leste Rondoniense;Ji-Paraná;Jaru;Área Rural;;;;;
1100122;Rondônia;Leste Rondoniense;Ji-Paraná;Ji-Paraná;Centro Urbano;;;;;
1100130;Rondônia;Leste Rondoniense;Ariquemes;Machadinho D'Oeste;Área Rural;;;;;
1101203;Rondônia;Leste Rondoniense;Cacoal;Ministro Andreazza;Área Rural;;;;;
1101302;Rondônia;Leste Rondoniense;Ji-Paraná;Mirante da Serra;Área Rural;;;;;
1101401;Rondônia;Leste Rondoniense;Ariquemes;Monte Negro;Área Rural;;;;;
